Price,Open,High,Low,Vol.,
146.35,146.71,149.5,146.25,101.35M,
145.72,144.55,145.93,141.1,98.72M,
145.81,146.98,147.81,144.27,117.20M,
147.02,148.46,149.11,145.01,130.17M,
148.93,152.35,153.29,148.67,155.84M,
153.98,155.33,156.94,152.19,167.46M,
154.1,153.21,156.12,152.91,177.18M,
153.24,154.54,155.56,151.89,205.07M,
152.62,154.84,155.95,149.42,237.38M,
151.35,150.06,151.94,148.07,236.45M,
151.43,149.09,152.45,149.09,203.61M,
144.38,148.01,151.2,142.75,259.83M,
151.93,150.55,153.63,149.03,291.63M,
150.73,146.11,152.14,145.31,286.19M,
145.2,146.39,146.97,143.02,220.29M,
144.89,136.01,146,135.3,252.00M,
134.33,132.95,135.2,131.82,166.69M,
131.43,136.3,136.3,130.09,192.84M,
133.62,135.53,135.54,132.22,205.18M,
133.7,131.41,135.89,131.35,179.47M,
138.33,140.26,141.64,138.15,186.00M,
140.66,139.6,141.9,138.84,232.00M,
139.17,138.55,140.43,136.86,276.16M,
134.5,129.44,134.7,129.43,220.52M,
128.01,132.35,134.25,125.63,226.38M,
126.02,129.6,132.1,125.93,205.71M,
130.76,121.31,132.24,118.91,229.86M,
123.54,125.91,128.31,123.35,172.76M,
132.33,135.01,135.08,129.35,165.78M,
134.88,137.1,140.06,134.8,163.87M,
140.57,140.35,144.5,136.71,203.74M,
142.26,147.76,148.01,140.81,179.06M,
142.7,140.38,142.7,135.92,198.85M,
147.27,144.42,149.81,143.31,193.52M,
147.67,148.19,152.11,145.52,203.81M,
150.84,150.78,152.69,147,247.90M,
148.44,138.29,148.54,135.95,295.33M,
143.37,148.83,149.9,141.84,220.41M,
154.93,155.69,159.56,152.03,290.16M,
151.63,149.58,151.91,146.76,250.84M,
148.81,147.6,153.53,146.49,255.61M,
147.5,144,154.66,140.92,328.25M,
144.42,138.11,145.96,131.72,324.38M,
128.68,138.97,143.05,122.01,310.75M,
132.42,122.14,134.55,120.2,266.58M,
125.93,123.54,127.66,117.91,238.83M,
123.27,137.8,137.87,121.14,202.58M,
137.47,142.28,142.28,134.44,174.52M,
148.13,155.12,155.94,142.69,157.88M,
155.8,159.61,160.75,153.84,147.30M,
157.51,155.23,158.09,149.51,171.82M,
153.06,161.64,161.67,151.53,196.27M,
157.63,163.16,164.37,156.41,192.67M,
174.28,173.92,176.07,172.48,143.07M,
178.15,174.88,178.15,174.47,190.15M,
167.91,166.22,168.94,163.16,159.81M,
162.05,162.57,162.6,153.42,176.14M,
168.86,167.64,172.55,165.97,167.96M,
167.16,171.02,172.55,166.33,141.28M,
176.46,172.87,177.3,170.6,115.81M,
175.03,178.58,178.68,173.87,128.84M,
182.7,186.79,187.94,181.46,110.49M,
185.52,187.39,187.39,184.02,101.01M,
186.62,178.84,186.62,177.95,131.82M,
188.1,192.47,193.25,187.12,121.84M,
190.6,192.49,193.33,189.63,101.88M,
193.87,192.07,194.19,189.42,118.35M,
193.18,191.3,194.16,190.34,143.40M,
191.58,187.43,192.18,187.03,115.89M,
189.16,190.4,193.04,188.68,141.46M,
188.31,185.74,189.4,185.04,195.79M,
179.25,178.15,180.1,175.63,146.41M,
183.54,183.29,185.71,182.06,142.74M,
179,177.58,180.72,176.86,173.98M,
189.9,188.55,190.4,188,114.09M,
185.27,187.64,188.89,184.92,148.10M,
188.5,184.01,188.74,183.63,136.16M,
186.99,188.74,188.74,185.93,141.63M,
189.97,184.94,190.72,184.9,159.87M,
180.49,179.27,182.15,179.08,138.51M,
183.57,183.55,185.07,181.69,165.91M,
184.36,181.89,185.33,180.92,135.94M,
182.41,182.61,184.38,180.37,154.76M,
182.13,186.29,186.85,181.89,118.09M,
188.96,190.69,191.84,188.63,86.50M,
188.75,192.79,192.81,188.63,72.46M,
191.6,191.11,192.4,187.99,85.08M,
191.36,189.71,193.11,189.41,72.84M,
192.99,193.12,194,192.05,68.93M,
192.04,193.24,193.33,189.58,82.84M,
193.85,197.16,197.29,193.56,75.21M,
197.35,196.29,198.65,195.22,76.57M,
197.56,199.24,199.37,195.7,69.48M,
200.97,202.45,203.03,200.03,78.24M,
201.5,199.09,202.44,199.09,77.61M,
200.26,201.55,202.94,198.96,74.00M,
202.12,202.41,204.04,200.98,87.11M,
202.42,203.87,204.52,202.42,85.47M,
200.76,198.03,201.51,197.57,74.87M,
200.31,202.14,202.86,198.69,82.50M,
202.28,200.73,202.56,199.87,99.55M,
196.44,196.95,199.26,196.16,103.94M,
197.56,200.54,201.09,195.77,86.66M,
201.43,202.1,203.23,199.83,71.70M,
204.12,202.8,205.12,202.07,79.98M,
201.82,203.23,203.84,201.12,96.52M,
199.9,200.45,200.7,196.77,82.78M,
203.97,205.62,205.82,202.71,78.76M,
204.27,204.13,206.3,203.13,77.78M,
208.34,205.12,208.65,205.08,111.80M,
203.64,202.85,204.72,201.81,109.33M,
199.77,198.18,200.06,198.05,71.18M,
200,195.72,201.08,195.62,99.85M,
192.86,197.01,197.06,192.02,84.52M,
194.89,197.03,197.57,194.8,92.62M,
192.48,193.96,195.36,190.02,104.07M,
193.01,198.01,198.04,192.51,98.23M,
199.12,199.63,202.22,198.51,74.34M,
200.12,197.1,201,194.99,102.94M,
196.34,191.85,197.23,191.54,118.57M,
194.61,199.64,200.44,194.61,107.71M,
196.52,202.05,202.05,193.74,106.18M,
202.34,200.63,203.18,199.59,83.54M,
201.74,205.45,205.97,201.25,83.46M,
205.71,203.73,207.3,202.76,106.81M,
207.96,212.75,213.19,206.04,101.12M,
213.02,213.64,214.5,210.74,78.94M,
213.52,214.33,215.63,213.09,70.14M,
214.59,213.45,214.93,212.91,72.20M,
219.12,218.93,221.45,218.7,74.44M,
218.95,217.91,218.95,215.88,84.02M,
217.97,217.31,218.81,216.62,70.87M,
218.51,217.19,219.45,215.83,68.56M,
220.57,223.59,223.96,219.56,79.06M,
222.03,224.13,224.31,220.85,88.22M,
226.6,222.87,226.82,222.45,88.92M,
223.66,225.65,225.76,221.96,99.32M,
224.91,225.06,225.89,223.82,106.61M,
222.79,223.26,224.4,220.45,105.94M,
221.17,223.89,224.66,221.17,119.51M,
227.42,227.36,228.22,224.69,82.34M,
226.56,231.83,231.95,225.43,92.46M,
231.35,228.95,231.78,228.64,81.82M,
234.76,234.44,235.04,232.61,91.20M,
235.09,233.46,235.43,232.33,73.70M,
233.14,234.83,235.51,232.55,79.78M,
236.78,236.91,237.67,234.6,77.41M,
237.46,236.96,237.79,235.11,104.09M,
236.39,232.98,236.76,232.97,97.37M,
231.17,235.43,235.45,230.58,83.73M,
233.97,231.39,234.01,231.32,77.77M,
230.43,232.13,233.17,229.05,84.11M,
234.14,235.38,236.02,233.84,80.48M,
235.31,234.3,235.71,232.1,101.12M,
237.15,237.29,239.14,236.82,105.95M,
240.62,242.61,243.14,238.39,97.24M,
242.67,244.05,245.17,241.29,110.81M,
243.54,244.16,245.21,242.53,114.94M,
243.11,238.12,243.38,238.08,125.89M,
237.04,236.72,237.65,234.91,111.62M,
237.02,234.82,237.05,232.71,97.44M,
233.98,238.07,238.11,233.17,97.74M,
237.37,235.55,238.43,235.3,116.21M,
238.66,239.87,240.56,236.81,128.68M,
239.53,238.16,239.55,237.24,108.76M,
238.18,238.74,238.76,237.54,99.14M,
235,232.76,235.19,232,91.76M,
233.24,235.69,236,232.14,87.30M,
234.97,235.19,235.66,233.71,128.63M,
234.56,232,234.65,232,106.70M,
230.77,231.58,232.3,229.85,101.38M,
230.56,228.59,231.96,228.56,108.06M,
229.22,230.86,231.31,228.92,105.76M,
231.11,230.24,231.48,229.87,98.69M,
227.25,227.48,228.4,226.26,92.25M,
226.98,228.68,228.88,226.51,97.72M,
225.36,225.63,226.75,224.86,94.24M,
223.51,224.83,225.51,222.66,88.58M,
224.54,224.35,225.58,223.17,113.64M,
228.8,226.86,228.81,225.98,112.10M,
226.44,223.67,226.58,222.38,87.92M,
225.1,227.22,227.28,224.24,83.43M,
227.79,227.25,229.66,226.48,103.56M,
226.95,226.87,227.56,226.02,102.51M,
226.99,224.29,227.31,223.84,105.86M,
223.76,222.63,223.8,222.4,147.60M,
217.81,217.23,219.73,216.3,126.73M,
217.65,217.69,218.43,215.18,106.04M,
217.22,213.22,217.75,213.14,91.66M,
213.85,213.28,214.04,211.72,76.24M,
214.41,213.92,214.64,212.92,86.53M,
213.73,213.92,214.65,212.82,92.27M,
211,210.76,212.04,209.55,78.64M,
209.69,209.3,209.7,207.89,87.88M,
206.62,203.81,206.86,202.42,80.87M,
206.48,206.83,207.72,205.43,94.99M,
201.79,201.19,202.01,198.79,89.31M,
199.68,201.36,201.37,194.85,98.48M,
202.63,207.4,207.49,200.01,98.89M,
204.42,210.16,210.19,203.79,97.56M,
210.49,213.8,214.09,210.27,89.31M,
208.06,203.6,208.47,203.28,81.54M,
206.29,206.7,208.95,205.79,75.43M,
210.57,212.84,212.84,208.78,79.66M,
214.92,212.7,216.43,212.54,99.73M,
212.14,212.64,213.36,210.89,82.10M,
212.14,212.29,213.59,210.65,69.86M,
211.73,212.25,212.25,209.77,75.14M,
216.85,217.93,218.52,216.46,70.67M,
220.59,219.44,221.29,217.67,76.16M,
218.87,219.44,220.42,218.04,79.32M,
217.22,219.07,219.4,216.63,76.48M,
217.07,215.62,217.52,215.52,69.03M,
213.73,214.09,214.09,211.77,66.97M,
216.38,216.4,217.42,214.95,68.81M,
213.84,216.12,218.01,213.19,89.18M,
218.37,218.11,219,216.96,84.18M,
215.46,216.14,217.79,213.26,74.48M,
215.38,212.8,215.73,212.15,80.17M,
216.2,211.27,216.2,211.22,89.97M,
207.56,211.52,211.71,207.11,73.34M,
209.01,210.54,210.72,208.66,66.60M,
208.92,210.41,210.96,207.98,71.14M,
216.91,215.6,217.16,214.95,72.26M,
216.23,212.02,217.16,211.92,106.69M,
209.08,210.32,210.7,206.86,87.60M,
207.77,202.53,208.87,200.84,99.38M,
203.5,210.82,210.93,201.94,112.15M,
208.8,210.51,211.31,206.59,83.10M,
206.52,211.76,212.64,205.68,76.98M,
215.06,213.71,215.21,212.65,100.50M,
211.2,211.73,213.35,209.76,94.15M,
207.23,210.1,210.89,203.97,103.12M,
204.55,206.33,207.91,200.99,128.63M,
213.6,218.37,218.48,212.28,98.80M,
219.87,214.21,220.54,213.5,106.61M,
218.83,218.5,219.66,214.07,104.06M,
215.87,216.9,219.44,215.06,88.52M,
220.91,224.78,224.83,217.97,98.69M,
222.81,224.3,225.86,221.29,75.66M,
224.41,232.12,232.46,223.64,87.14M,
229.47,232.74,233.71,229.47,84.36M,
232.53,227.14,232.53,226.05,81.64M,
230.34,231.75,232.32,229.19,88.65M,
231,229.39,232.42,229.09,86.70M,
235.77,234.62,236.59,230.41,91.50M,
234.67,232.94,235.64,230.86,69.04M,
235.3,240.47,240.65,235.02,76.14M,
